,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.033,0.035,0.034,0.034,0.0008164965809277268,0,2,2048,all_reduce,1,1
1,0.037,0.039,0.038,0.038,0.0008164965809277268,0,2,10240,all_reduce,1,1
2,0.039,0.044,0.041666666666666664,0.042,0.0020548046676563247,0,2,18432,all_reduce,1,1
3,0.044,0.046,0.04533333333333334,0.046,0.0009428090415820641,0,2,26624,all_reduce,1,1
4,0.047,0.048,0.04766666666666667,0.048,0.00047140452079103207,0,2,34816,all_reduce,1,1
5,0.051000000000000004,0.053,0.05200000000000001,0.052000000000000005,0.0008164965809277239,0,2,43008,all_reduce,1,1
6,0.055,0.056,0.05533333333333334,0.055,0.00047140452079103207,0,2,51200,all_reduce,1,1
7,0.058,0.06,0.058666666666666666,0.058,0.000942809041582061,0,2,59392,all_reduce,1,1
8,0.06,0.062,0.061,0.061,0.0008164965809277268,0,2,67584,all_reduce,1,1
9,0.062,0.066,0.06466666666666666,0.066,0.0018856180831641283,0,2,75776,all_reduce,1,1
10,0.067,0.069,0.06833333333333334,0.069,0.0009428090415820641,0,2,83968,all_reduce,1,1
11,0.07100000000000001,0.07200000000000001,0.07166666666666667,0.07200000000000001,0.00047140452079103207,0,2,92160,all_reduce,1,1
12,0.074,0.076,0.07533333333333332,0.076,0.0009428090415820641,0,2,100352,all_reduce,1,1
13,0.079,0.081,0.08,0.08,0.0008164965809277268,0,2,108544,all_reduce,1,1
14,0.083,0.083,0.083,0.083,0.0,0,2,116736,all_reduce,1,1
15,0.08700000000000001,0.09,0.08866666666666667,0.089,0.0012472191289246422,0,2,124928,all_reduce,1,1
16,0.093,0.095,0.09433333333333334,0.095,0.0009428090415820641,0,2,133120,all_reduce,1,1
17,0.107,0.109,0.108,0.108,0.0008164965809277268,0,2,141312,all_reduce,1,1
18,0.11,0.112,0.11066666666666668,0.11,0.0009428090415820641,0,2,149504,all_reduce,1,1
19,0.114,0.11800000000000001,0.116,0.116,0.0016329931618554536,0,2,157696,all_reduce,1,1
20,0.117,0.12,0.11833333333333333,0.11800000000000001,0.0012472191289246422,0,2,165888,all_reduce,1,1
21,0.12,0.124,0.122,0.122,0.0016329931618554536,0,2,174080,all_reduce,1,1
22,0.124,0.126,0.125,0.125,0.0008164965809277268,0,2,182272,all_reduce,1,1
23,0.127,0.13,0.12833333333333333,0.128,0.0012472191289246482,0,2,190464,all_reduce,1,1
